N E X T F L O W  ~  version 21.10.6
Launching `./wes.nf` [scruffy_northcutt] - revision: 42b5734271

STARTING PIPELINE
=*=*=*=*=*=*=*=*=
Sample list: /home/diagnostics/pipelines/WholeExomePipeline/sample_list.csv
BED file: /home/pipelines/mutation_detector_nextflow/bedfile/Leukemia_Panel_Myeloid_2023_Feb_hg37_sortd.bed
Sequences in:/home/diagnostics/pipelines/WholeExomePipeline/sequences

[d5/2ed3fd] Cached process > WES:coverage_mosdepth (14)
[0e/78cd37] Cached process > WES:coverage_mosdepth (11)
[5a/cdce50] Cached process > WES:coverage_mosdepth (9)
[8e/80d3ba] Cached process > WES:coverage_mosdepth (13)
[ba/90f09d] Cached process > WES:minimap_getitd (4)
[3c/4cf3f7] Cached process > WES:minimap_getitd (5)
[db/c464ae] Cached process > WES:minimap_getitd (3)
[ca/826db0] Cached process > WES:minimap_getitd (13)
[1e/537651] Cached process > WES:minimap_getitd (2)
[8a/686528] Cached process > WES:minimap_getitd (9)
[46/272e27] Cached process > WES:coverage_mosdepth (1)
[cf/650b7c] Cached process > WES:minimap_getitd (12)
[3d/58cc7f] Cached process > WES:minimap_getitd (1)
[d2/2550d2] Cached process > WES:minimap_getitd (8)
[45/9da0a7] Cached process > WES:minimap_getitd (10)
[2a/f93613] Cached process > WES:minimap_getitd (6)
[a7/1ab498] Cached process > WES:minimap_getitd (7)
[ef/7532f9] Cached process > WES:minimap_getitd (14)
[42/7794f6] Cached process > WES:minimap_getitd (11)
[1e/12976a] Cached process > WES:lofreq (2)
[89/494a48] Cached process > WES:lofreq (7)
[de/2a8384] Cached process > WES:lofreq (4)
[7e/887500] Cached process > WES:lofreq (1)
[da/3ad2c4] Cached process > WES:lofreq (6)
[43/99a9e9] Cached process > WES:lofreq (5)
[42/98f06d] Cached process > WES:lofreq (8)
[ce/616915] Cached process > WES:lofreq (3)
[f6/880fd7] Cached process > WES:lofreq (9)
[44/1962c8] Cached process > WES:lofreq (10)
[90/259878] Cached process > WES:lofreq (11)
[e7/7ca645] Cached process > WES:lofreq (14)
[85/5c44be] Cached process > WES:lofreq (12)
[70/f19392] Cached process > WES:lofreq (13)
[d8/2d40d1] Cached process > WES:varscan (7)
[6b/eb8e60] Cached process > WES:varscan (10)
[aa/f100f5] Cached process > WES:varscan (13)
[fe/621e9f] Cached process > WES:varscan (14)
[5e/294a2b] Cached process > WES:varscan (9)
[88/96f206] Cached process > WES:varscan (8)
[88/f970e6] Cached process > WES:varscan (1)
[ad/1bfdc6] Cached process > WES:varscan (6)
[db/bbdf9f] Cached process > WES:varscan (4)
[1c/ac1f76] Cached process > WES:varscan (2)
[24/130c1f] Cached process > WES:varscan (3)
[f9/e390ab] Cached process > WES:haplotypecaller (8)
[c4/67a6f3] Cached process > WES:haplotypecaller (10)
[a4/e518ac] Cached process > WES:varscan (12)
[a1/911d7b] Cached process > WES:haplotypecaller (9)
[eb/90ae0e] Cached process > WES:haplotypecaller (1)
[3d/367fde] Cached process > WES:haplotypecaller (4)
[c1/edabdb] Cached process > WES:haplotypecaller (7)
[13/b1999b] Cached process > WES:varscan (11)
[f9/e4c6ef] Cached process > WES:haplotypecaller (3)
[ca/a223b5] Cached process > WES:haplotypecaller (12)
[01/4951e1] Cached process > WES:varscan (5)
[1d/a3a1c2] Cached process > WES:haplotypecaller (6)
[fa/fe31cf] Cached process > WES:haplotypecaller (11)
[9f/d52774] Cached process > WES:haplotypecaller (14)
[c8/a965b6] Cached process > WES:haplotypecaller (5)
[5f/51a8d8] Cached process > WES:haplotypecaller (2)
[79/dba04e] Cached process > WES:haplotypecaller (13)
[ba/3e20c4] Cached process > WES:pindel (6)
[5d/bd38d8] Cached process > WES:pindel (3)
[23/94b11c] Cached process > WES:pindel (1)
[64/df9a11] Cached process > WES:pindel (4)
[e9/cbffe7] Cached process > WES:pindel (5)
[06/52db28] Cached process > WES:pindel (10)
[7e/19b1d1] Cached process > WES:pindel (9)
[ca/b3d249] Cached process > WES:pindel (13)
[fd/852360] Cached process > WES:pindel (7)
[52/99daa3] Cached process > WES:pindel (14)
[8e/9ffd95] Cached process > WES:pindel (8)
[67/14d29a] Cached process > WES:pindel (2)
[72/3b5ae7] Cached process > WES:pindel (12)
[c0/45847d] Cached process > WES:pindel (11)
[9e/ed0abe] Cached process > WES:somaticSeq_run (8)
[71/5bf8b5] Cached process > WES:somaticSeq_run (4)
[45/6cb2f6] Cached process > WES:somaticSeq_run (5)
[93/545462] Cached process > WES:somaticSeq_run (6)
[98/895e5f] Cached process > WES:somaticSeq_run (13)
[b7/8c11ff] Cached process > WES:somaticSeq_run (1)
[55/9e404b] Cached process > WES:somaticSeq_run (3)
[95/2f3c1d] Cached process > WES:somaticSeq_run (7)
[29/2bf044] Cached process > WES:somaticSeq_run (14)
[0c/751238] Cached process > WES:somaticSeq_run (2)
[1a/b65a20] Cached process > WES:somaticSeq_run (12)
[19/ca2a05] Cached process > WES:somaticSeq_run (9)
[68/653b76] Cached process > WES:somaticSeq_run (11)
[04/61d126] Cached process > WES:somaticSeq_run (10)
[1d/beee2f] Cached process > WES:cava (11)
[f2/8640e5] Cached process > WES:cava (2)
[7a/ef3109] Cached process > WES:cava (9)
[dd/5b98da] Cached process > WES:cava (10)
[9b/b6c367] Cached process > WES:cava (8)
[c1/98aa36] Cached process > WES:cava (13)
[67/fbb8c4] Cached process > WES:cava (6)
[d5/d2618b] Cached process > WES:cava (12)
[89/86e3bf] Cached process > WES:cava (1)
[ec/6946bf] Cached process > WES:cava (4)
[42/086951] Cached process > WES:cava (3)
[d1/ee2a09] Cached process > WES:cava (5)
[82/c29ff7] Cached process > WES:cava (7)
[0e/6a638c] Cached process > WES:cava (14)
[06/35aa03] Submitted process > WES:merge_csv (1)
[06/46d8fa] Submitted process > WES:merge_csv (14)
[b5/a0d603] Submitted process > WES:merge_csv (13)
[6c/8e8e72] Submitted process > WES:merge_csv (10)
[30/ba779e] Submitted process > WES:merge_csv (6)
[d9/673916] Submitted process > WES:merge_csv (9)
[d5/a4c490] Submitted process > WES:merge_csv (12)
[41/ef27ef] Submitted process > WES:merge_csv (4)
[4f/989481] Submitted process > WES:merge_csv (3)
[6b/f9eb38] Submitted process > WES:merge_csv (11)
[c6/7e6f56] Submitted process > WES:merge_csv (2)
[ee/e00a27] Submitted process > WES:merge_csv (5)
[04/61ea69] Submitted process > WES:merge_csv (8)
[c6/1d304b] Submitted process > WES:merge_csv (7)
